ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_28438_4e78ad0a,28438,,PAIN COMPLET,0.00,All,,0.00,5.78
__export__.product_template_24842_05764b0d,24842,,PAIN CROISSANT,0.00,All,BOULANGERIE A,1.00,2.00
__export__.product_template_26368_545a8ff6,26368,,PAIN DES FLEURS SARRASSIN - BUCKWHEAT FLOWER BREAD,0.00,All,,0.00,8.50
__export__.product_template_26481_2cc230c4,26481,ITALIA108,PAIN SARDE / PANE CARATU,0.00,Dry Goods,,0.00,10.20
__export__.product_template_24181_ec7c435b,24181,GLU12,PAIN SCHAR GLUTEN FREE CARRE 400GR PAIN SCHAR SANS GLUTEN CARRE 400GR,0.00,Special Diet,SCHAR.COM,3.40,7.92
__export__.product_template_24147_29743f87,24147,GLU20,PAIN SCHAR RUSTICO 2X225GR PAIN SCHAR RUSTICO 2X225GR,0.00,Special Diet,SCHAR.COM,4.60,6.16
__export__.product_template_21859_4714d9d5,21859,,"PAK CHOI, BABY - KG PAK CHOY, NORMAL - KG",0.00,Vegetables,ASIA FRERES,3.55,8.88
__export__.product_template_28407_f0e446e7,28407,,PALAIS DES THE SENCHA 502GR ,0.00,All,,0.00,139.00
__export__.product_template_24008_580c1cc5,24008,FRM0061,PALET DES SOURCES LEAVES - PC PALET DES SOURCES FEUILLE PIECE,0.00,Eggs & Dairy,LA GRANDE CREMERIE,0.00,0.00
__export__.product_template_25692_0544a6f4,25692,KOSHER137,PALM HEARTS (SLICED OR WHOLE) / CŒUR DE PALMIER - 400GR,0.00,Special Diet,BON GOUT,3.99,9.90
__export__.product_template_23322_2e827be4,23322,ASI0080,PALM OIL - 500ML HUILE DE PALME - 500ML,0.00,Asian Products,ASIA FRERES,4.19,7.16
__export__.product_template_20769_3bcdfcc4,20769,ASI0087,PALM SUGAR THAI TOP CHOICE- 454G SUCRE DE PALME THAI TOP CHOICE - 454G,0.00,Asian Products,ASIA FRERES,2.95,5.21
__export__.product_template_23275_83ecd6d0,23275,SWT036,PALMIER'S COOKIES - BAG BISCUITS DE PALMIER - PKT,0.00,Dry Goods,METRO,0.83,1.56
__export__.product_template_26278_bb6bf485,26278,,PALMOLIVE BAR SOAP 120G,0.00,All,,0.00,1.47
__export__.product_template_28093_63594b1d,28093,,PAMPELLE RUBY L'APERO 15% - 70CL,0.00,All,,0.00,35.15
__export__.product_template_21734_5dad2e67,21734,FRT103,PAMPLEMOUSSE PINK - KG POMELOS ROSE - KG,0.00,Fruit,LES HALLES TROTTEMANT,2.16,8.72
